title,postingFrom,permalink,shortDescription,postingDate,mailToLink
"rent my 1997 ford escort for $32.00/day (marlette, mi)",thumb,http://thumb.craigslist.org/rid/3408618306.html,"rent my 1997 ford escort in marlette nice cheap rental car! $6.50/hour $32.00/day $160.00/week (insurance included) mainly in mornings and weekends, but normally always available! click here to rent this car.",2012-11-14T04:18:46-05:00,emailnotfound
coming to flint bay city sag or up us 23 from port sanilac? $25 cash (oscoda),thumb,http://thumb.craigslist.org/rid/3374002465.html,"if you're coming up to the great white north (oscoda, alpena, tawas, or harrisville, for example) 
or even bay city from the thumb / port sanilac or thereabouts, i'll help pay for gas if you'll throw a small 
outboard motor in your trunk or pickup be [...]",2012-11-08T13:32:07-05:00,emailnotfound
ride needed to tn. i have gas $ (west michigan),thumb,http://thumb.craigslist.org/rid/3389690156.html,i'm nathan. 24 year old army vet headed down to tennessee to visit some family before a trip out to california. i'm trying to get south as soon as possible as it's beginning to get cold here. i woke up to snow on the ground two days ago and realized  [...],2012-11-05T22:09:58-05:00,emailnotfound
ride offered leaving tuesday (10/16) 4pm from caro (to kalamazoo or between. ),thumb,http://thumb.craigslist.org/rid/3336223570.html,"leaving on tuesday at 4pm to go to kalamazoo. will be going through millington , davison, flint, lansing, battle creek, to kalamazoo. if you need a ride to any of those places or any other place on the way let me know. i will also have a dog with me. [...]",2012-10-13T12:09:57-04:00,emailnotfound
carpool (caseville-flint 5 days a week),thumb,http://thumb.craigslist.org/rid/3323407659.html,looking for someone to carpool with. i live in caseville and work in flint weekdays 8 till 5. please respond if interested by email. thank you. ,2012-10-07T19:47:32-04:00,emailnotfound
