title,postingFrom,permalink,shortDescription,postingDate,mailToLink
i need a ride to indiana (southern md),smd,http://smd.craigslist.org/rid/3401862463.html,"hi i have found a vehicle that i am buying... 
it is located in fort wayne, indiana 
it is 10 hours away... will u take me? 
please describe urself in your email or i will not respond. who are u? i need a ride bad this car is @ a great price and wort [...]",2012-11-11T09:26:29-05:00,emailnotfound
need a ride u stuck in waldorf area i know how can be with no car (prince gerorge md area),smd,http://smd.craigslist.org/rid/3332555680.html,"need a ride????? im a 27 year old female, very reserved and outgoing... 
im located in the prince george in waldorf area....ill be happy to drive you where you need to go....... 
price:negotiable depends on where you need to go ......contact me asap ",2012-10-11T18:21:12-04:00,emailnotfound
carolina bound!  chowan vs bsu (chowan university-east carolina),smd,http://smd.craigslist.org/rid/3314079326.html,"road trip for college football game & events. depart early saturday morning from pg county or dc. 
no smoking inside car 
no pets preferred 
room for 3 more 
no gas assistance needed 
will make interesting stops if time permits 
friday nite departure [...]",2012-10-03T15:29:07-04:00,emailnotfound
