title,postingFrom,permalink,shortDescription,postingDate,mailToLink
trip to florida ,northplatte,http://northplatte.craigslist.org/rid/3400442861.html,i am moving to florida & would like someone to help drive down . i can go any time but am thinking end of nov. or beginning of dec.,2012-11-10T13:28:58-06:00,emailnotfound
ride offered east on 80 (interstate  80),northplatte,http://northplatte.craigslist.org/rid/3390722920.html,"hello, 
my girlfriend,dog, and i are headed to minneapolis going the route of des moines iowa then north. we should be in nebraska in a day or two. we are veryy flexible and are willing to give you a ride 30 miles or 300 miles. if you want to ride gi [...]",2012-11-06T11:21:39-06:00,emailnotfound
need a ride to elm creek,northplatte,http://northplatte.craigslist.org/rid/3329486449.html,"i need a ride to elm creek, ne this saturday, the 13th. i need to be there by 9:9:15 a.m. just need a ride there, i can get a ride back. thank you! ",2012-10-10T12:54:24-05:00,emailnotfound
need ride this sat to north platte (lexington),northplatte,http://northplatte.craigslist.org/rid/3324778278.html,"we are three guys looking to go go to north platte this sunday, october 14th. need to get there by 10am. we need to go or near 12th street. we are in lexington,ne. we are looking for one way or if you are heading back we could come back the same nigh [...]",2012-10-08T12:18:24-05:00,emailnotfound
