title,postingFrom,permalink,shortDescription,postingDate,mailToLink
"need a ride to park city, ut?",sanmarcos,http://sanmarcos.craigslist.org/rid/3415227924.html,driving to park city/salt lake area between 11/25 & 11/28. looking for someone to split the gas and help me stay awake on the long trip. my dates are somewhat flexible.,2012-11-16T20:00:00-06:00,emailnotfound
"cheap rides offered,,,,barter or trade (i-35)",sanmarcos,http://sanmarcos.craigslist.org/rid/3412481774.html,"i travel up and down i-35 area from austin to sanantonio on regular basis and can most always take rider on late sunday evenings anywhere in the general area. 
other evenings possible but not as great opportunity. 
also able to haul items in my small [...]",2012-11-15T16:58:32-06:00,emailnotfound
san marcos - houston (san marcos),sanmarcos,http://sanmarcos.craigslist.org/rid/3395957441.html,looking to find rides from san marcos to houston and back from time to time to visit family. need to go this weekend and in the future also. hit me up if you wanna help out and get some extra gas money. thanks a bunch. -chris,2012-11-08T14:41:47-06:00,emailnotfound
nb to austin (nb),sanmarcos,http://sanmarcos.craigslist.org/rid/3392794417.html,hey guys. heres my situation. i came into new braunfels for the wurstfest action going on but my ride back into austin has backed out on me. i dont have any cash left for trip back into austin but would very much appreciate to ride back with someone. [...],2012-11-07T09:49:21-06:00,emailnotfound
thanksgiving break (alabama-birmingham / helena),sanmarcos,http://sanmarcos.craigslist.org/rid/3386861763.html,i am driving to alabama to see my sister and her kids for thanksgiving break .she lives in helena . i plan to leave san marcos sunday the 18th in the morning and drive for 8-9 hrs . then get room. will drive remainder the next day . if anopther femal [...],2012-11-04T17:24:00-06:00,emailnotfound
heading to los angeles today anyone need ride in between (512 217 2202),sanmarcos,http://sanmarcos.craigslist.org/rid/3364007222.html,im heading to la cali today anyone need ride to or in between chip in a some for gas thanks 512 217 2202,2012-10-25T10:59:22-05:00,emailnotfound
small plane flight to houston next tuesday or wednesday (san marcos),sanmarcos,http://sanmarcos.craigslist.org/rid/3363173731.html,"i am a pilot, and fly to houston on business. would anyone like to fly with me? i'm flying out either monday or tuesday morning. i'm a gentle guy (and a competent pilot), and honestly prefer flying with a female. i would be flying back the same eveni [...]",2012-10-24T22:17:31-05:00,emailnotfound
"taking trip to georgia - anyone need a ride? (san marcos, tx)",sanmarcos,http://sanmarcos.craigslist.org/rid/3351168458.html,"i am taking a road trip to georgia leaving oct 31 around 6pm and returning back to san marcos area nov 6 around 7 am. we are going to take i10 all the way to mobile then go up to columbus, ga. if anyone is heading that way and wants to share some gas [...]",2012-10-19T18:33:53-05:00,emailnotfound
casino bus ride to louisiana,sanmarcos,http://sanmarcos.craigslist.org/rid/3316171662.html,"casino trip to cypress bayou casino for an overnite stay, trip cost is $70 per person/double occupancy with $30 cash perks. trip dates are nov 4 and nov 18, 2012. sodas, bottle water and free bingo with cash prizes will be aboard the bus. for reserva [...]",2012-10-19T08:17:54-05:00,emailnotfound
ride offer - mon-thur ( san marcos-austin),sanmarcos,http://sanmarcos.craigslist.org/rid/3339298391.html,"i am offering a ride from san marcos to austin, monday - thursday. leaving sm at 1130 am and return (leaving austin) at 6 pm. if you are in need of a ride, you pay $10 per way or $15 round trip (cash only). please email me if interested with a good n [...]",2012-10-14T19:47:55-05:00,emailnotfound
"ride needed to winnsboro, tx (san marcos, tx)",sanmarcos,http://sanmarcos.craigslist.org/rid/3324767444.html,"hello. i am seeking a ride to winnsboro to protest the destruction of tx land by an extremely harmful project, the keystone xl pipeline. if you are able to give me a ride even just part of the way, please contact me.",2012-10-08T12:14:36-05:00,emailnotfound
tonight 10/5-10/7 san antonio to austin to dallas and back (texas: i35 corridor),sanmarcos,http://sanmarcos.craigslist.org/rid/3318178097.html,"i will be driving from san antonio to austin after work tonight, then to dallas/denton tomorrow, saturday, early afternoon, and back through austin to san antonio sunday afternoon. let me know if you need a ride and can help with gas money! thanks ",2012-10-05T10:57:18-05:00,emailnotfound
10/5-10/7 san antonio to austin to dallas and back (texas: i-35 corridor),sanmarcos,http://sanmarcos.craigslist.org/rid/3313385157.html,"i will be driving from san antonio to austin after work on friday, then to dallas/denton saturday early afternoon, and back through austin to san antonio sunday afternoon. let me know if you need a ride and can help with gas money! thanks ",2012-10-03T10:12:56-05:00,emailnotfound
