title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
ride offered - berkeley to la on mon 11/19 (berkeley),danville,http://danville.craigslist.org/rid/3412135153.html,"i'm offering a ride from berkeley to los angeles. 
leaving november 19th. taking the 5 freeway. my dog will be riding with us. contact me on zimride: http://www.zimride.com/ride/share?ride=535252 
i drive a 2004 toyota solara. ",2012-11-15T15:30:31-05:00,emailnotfound,TRUE,danville,2012-11-19T15:30:31-05:00,la
ride offered - san ramon to kirkwood on sat 11/17 (san ramon),danville,http://danville.craigslist.org/rid/3383806237.html,"i'm offering a ride from san ramon to kirkwood for the 2012 - 2013 ski season.. 
between november 17th and april 7th. i typically ski on wed, fri or sundays.
i prefer powder days or day after powder days.
so, i may decide only 1-2 days before ski day [...]",2012-11-03T11:41:32-04:00,emailnotfound,TRUE,danville,2012-11-17T11:41:32-04:00,kirkwood
driving to lynchburg,danville,http://danville.craigslist.org/rid/3344202578.html,"driving up to lynchburg, va on friday, coming back on sunday. can pick up anywhere along the way. let me know what you care to contribute to in gas money. one way in my car typically costs $50 in gas, so looking for someone who can contribute at leas [...]",2012-10-16T21:00:05-04:00,emailnotfound,TRUE,danville,2012-10-22T21:00:05-04:00,lynchburg
