title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
inexpensive travel to any stae or city,pueblo,http://pueblo.craigslist.org/rid/3357968267.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on greyhound or amtrak we can get you or your friends tickets from and to any city in the country. so be sure to tell family an [...]",2012-11-03T07:31:31-06:00,emailnotfound,FALSE,pueblo,2012-11-09T07:31:31-06:00,any
mature n/s senior drives to spgs once a week need to share gas (northern/pueblo blvd),pueblo,http://pueblo.craigslist.org/rid/3375666688.html,"i drive rt to co spgs once a week. i have allergies , so cannot take smokers or cat owners. sorry. 
i can take someone for gas money..amount depends on where u go. i go to penrose hospt on nevada ave. can be in spgs from 2 to 4 hours. 
no set schedul [...]",2012-10-30T15:34:11-06:00,emailnotfound,TRUE,pueblo,2012-10-36T15:34:11-06:00,spgs
"ride offered to arizona (canon, pueblo, c.s.)",pueblo,http://pueblo.craigslist.org/rid/3364269908.html,"i'm leaving today or tomorrow from canon. can take you door to door from where you are to where you are going. call seven one nine, two three nine, one five one six",2012-10-25T11:34:26-06:00,emailnotfound,TRUE,pueblo,2012-10-25T11:34:26-06:00,arizona
"in canon city...to pueblo, springs (canon city)",pueblo,http://pueblo.craigslist.org/rid/3342693725.html,"looking for someone in the canon city area heading out to pueblo, colorado springs, denver, or even more north. i am in canon city presently, finding work has not happened so im looking to go north asap. my ultimate goal is loveland, but if i can onl [...]",2012-10-16T09:00:51-06:00,emailnotfound,TRUE,pueblo,2012-10-16T09:00:51-06:00,pueblo
mature lady driving rt  co to mich & indiana (flexible/ after oct 17th),pueblo,http://pueblo.craigslist.org/rid/3313856879.html,have room for a non-smoker who can share gas. will travel to mi and back to co..want to stop in indy one or both ways for a couple of days. i am a retired social worker and can provide id and references to transport a senior or handicap individual. p [...],2012-10-03T12:05:26-06:00,emailnotfound,TRUE,pueblo,2012-10-17T12:05:26-06:00,mich
