title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
need a ride to nj today evening (maryland),frederick,http://frederick.craigslist.org/rid/3366209430.html,"i need to go to new jersey today evening after office hours. 
it would be great if some one respond to me, i can share gas, toll and food. 
thanks!",2012-10-26T11:18:47-04:00,emailnotfound,FALSE,frederick,2012-10-26T11:18:47-04:00,nj
frederick area to college park student,frederick,http://frederick.craigslist.org/rid/3316959917.html,just seeing if anyone would consider sharing a ride from frederick to umd/college park in the morning and back in the evening. i've got a vehicle and if you do thats awesome because we could just save money... i'm really chill and get along with ever [...],2012-10-04T19:19:21-04:00,emailnotfound,FALSE,frederick,2012-10-08T19:19:21-04:00,college
philly to nashville round trip 10/25-10/28 (philadelphia &amp; surrounding area),frederick,http://frederick.craigslist.org/rid/3311884138.html,"looking to find someone or multiple people to split cost of rental and gas for a weekend trip to nashville, tn at the end of october. leaving philly thursday night 10/25 no later than midnight. leaving sunday 10/28 sometime between 10am-2pm. rental c [...]",2012-10-02T16:37:21-04:00,emailnotfound,TRUE,frederick,2012-10-25T16:37:21-04:00,nashville
