title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
need ride (la vergne to el paso),bgky,http://bgky.craigslist.org/rid/3413214192.html,me my two daughters and granddaughter need a ride near the el paso area from nashville tn. it would really help out if we could get a free ride but we are willing to pay. message back asap.,2012-11-16T00:40:35-06:00,emailnotfound,FALSE,bgky,2012-11-16T00:40:35-06:00,el
need a ride tonight! from bg to columbus ohio. will pay cash.,bgky,http://bgky.craigslist.org/rid/3367302424.html,"need a ride asap! trying to visit family and friends. only need a ride to columbus, not back.",2012-10-26T17:39:10-05:00,emailnotfound,FALSE,bgky,2012-10-26T17:39:10-05:00,columbus
bowling green to portland or (bowling green),bgky,http://bgky.craigslist.org/rid/3359403251.html,"hi! i'm planning on driving west to get home to portland, i could use some company to share the cost of fuel. i'm driving a '04 saturn ion, it has a five speed manual transmission. if you're not absolutely certain you can drive a stick, that's okay,  [...]",2012-10-23T12:25:58-05:00,emailnotfound,FALSE,bgky,2012-10-27T12:25:58-05:00,portland
need ride to louisiana (kentucky to new orleans),bgky,http://bgky.craigslist.org/rid/3328487987.html,"my boyfriend and i are looking to get to new orleans for halloween, we can help pay for gas and food and we can also help drive, as we both have a valid drivers license. let me know your schedule, if you're heading that way, and we can work something [...]",2012-10-09T21:49:43-05:00,emailnotfound,FALSE,bgky,2012-10-12T21:49:43-05:00,louisiana
