title,postingFrom,permalink,shortDescription,postingDate,mailToLink
ride offer: victoria/port lavaca to houston (victoria/port lavaca/port o connor),victoriatx,http://victoriatx.craigslist.org/rid/3409564267.html,"i am going to houston thursday, could use some gas money. i have an suv. if you need a ride email me. if am going through port lavaca but could also pick up in victoria. one way",2012-11-14T12:56:06-06:00,emailnotfound
offer: ride to austin fri (11/9) (port lavaca),victoriatx,http://victoriatx.craigslist.org/rid/3393704409.html,"small pickup heading to austin around lunchtime this friday, 11/9. leaving pt. lavaca and passing through victoria, luling, lockhart, etc. on the way to east austin. looking for passenger willing to contribute money towards gas. ",2012-11-07T15:27:40-06:00,emailnotfound
bus travel to any city 1/2 off (nationwide travel),victoriatx,http://victoriatx.craigslist.org/rid/3328187260.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for greyhound bus lines. since we are an online only travel booker, we are able to further discount travel tickets b/c we have very low op [...]",2012-11-03T08:29:12-05:00,emailnotfound
offer: ride to austin fri (10/19) (port lavaca),victoriatx,http://victoriatx.craigslist.org/rid/3346650272.html,"small pickup truck headed to austin friday morning, looking for a passenger who can contribute money for gas. will be passing through victoria, cuero, luling, and lockhart en route to austin. call five one two six three two oh two eight nine. thanks. [...]",2012-10-17T20:37:13-05:00,emailnotfound
